1.000 0.000 0.010 0.000 0.010 0.000
1.100 0.000 0.010 0.000 0.010 0.000
1.200 0.000 0.010 0.000 0.010 0.000
1.300 0.000 0.010 0.000 0.010 0.000
1.400 0.000 0.010 0.000 0.010 0.000
1.500 0.000 0.010 0.000 0.010 0.000
1.600 0.000 0.010 0.000 0.105 0.000
1.700 0.000 0.010 0.000 0.237 0.000
1.800 0.084 0.126 0.042 0.324 0.000
1.900 0.208 0.258 0.158 0.383 0.010
2.000 0.293 0.343 0.243 0.425 0.061
2.100 0.351 0.401 0.301 0.456 0.173
2.200 0.392 0.442 0.342 0.478 0.258
2.300 0.422 0.472 0.372 0.495 0.317
2.400 0.443 0.493 0.393 0.507 0.359
2.500 0.458 0.508 0.408 0.516 0.389
2.600 0.469 0.519 0.419 0.523 0.410
2.700 0.477 0.527 0.427 0.529 0.423
2.800 0.483 0.533 0.433 0.533 0.431
2.900 0.486 0.536 0.436 0.537 0.436
3.000 0.489 0.539 0.439 0.539 0.439
3.100 0.490 0.540 0.440 0.540 0.440
3.200 0.491 0.541 0.441 0.541 0.441
3.300 0.491 0.541 0.441 0.541 0.441
3.400 0.491 0.541 0.441 0.541 0.441
3.500 0.490 0.540 0.440 0.540 0.440
3.600 0.489 0.539 0.439 0.539 0.439
3.700 0.488 0.538 0.438 0.538 0.438
3.800 0.487 0.537 0.437 0.537 0.437
3.900 0.486 0.536 0.436 0.536 0.436
4.000 0.485 0.535 0.435 0.535 0.435
4.100 0.484 0.534 0.434 0.534 0.434
4.200 0.483 0.533 0.433 0.533 0.433
4.300 0.482 0.532 0.432 0.532 0.432
4.400 0.480 0.530 0.430 0.531 0.430
4.500 0.479 0.529 0.429 0.529 0.429
4.600 0.478 0.528 0.428 0.528 0.428
4.700 0.477 0.527 0.427 0.527 0.427
4.800 0.476 0.526 0.426 0.526 0.426
4.900 0.476 0.526 0.426 0.526 0.426
5.000 0.475 0.525 0.425 0.525 0.425
5.100 0.473 0.523 0.423 0.524 0.423
5.200 0.471 0.521 0.421 0.522 0.421
5.300 0.469 0.519 0.419 0.519 0.419
5.400 0.466 0.516 0.416 0.516 0.416
5.500 0.463 0.513 0.413 0.513 0.413
5.600 0.460 0.510 0.410 0.510 0.410
5.700 0.457 0.507 0.407 0.507 0.406
5.800 0.453 0.503 0.403 0.504 0.403
5.900 0.450 0.500 0.400 0.500 0.400
6.000 0.447 0.497 0.397 0.497 0.397
6.100 0.444 0.494 0.394 0.494 0.394
6.200 0.441 0.491 0.391 0.491 0.391
6.300 0.438 0.488 0.388 0.488 0.387
6.400 0.435 0.485 0.385 0.485 0.384
6.500 0.431 0.481 0.381 0.482 0.381
6.600 0.431 0.481 0.381 0.483 0.381
6.700 0.436 0.486 0.386 0.497 0.384
6.800 0.447 0.497 0.397 0.519 0.389
6.900 0.464 0.514 0.414 0.548 0.398
7.000 0.486 0.536 0.436 0.585 0.411
7.100 0.515 0.565 0.465 0.622 0.429
7.200 0.555 0.605 0.505 0.652 0.452
7.300 0.590 0.640 0.540 0.676 0.485
7.400 0.619 0.669 0.569 0.698 0.523
7.500 0.643 0.693 0.593 0.719 0.558
